Company,Country,Headquarters,Est.,Notes
Reliance Big Entertainment,India,"Mumbai, Maharashtra",2005,Subsidiary of Reliance Anil Dhirubhai Ambani Group
Red Chillies Entertainment,India,"Mumbai, Maharashtra",2002,
R.K. Films,India,"Mumbai, Maharashtra",1948,
S Pictures,India,"Chennai, Tamil Nadu",1999,
Sahara One,India,"New Delhi, Delhi",2000,
Shree Ashtavinayak Cine Vision,India,"Mumbai, Maharashtra",2001,
Shree Venkatesh Films,India,"Kolkata, West Bengal",1996,
Sivaji Productions,India,"Chennai, Tamil Nadu",1956,
Studio Green,India,"Chennai, Tamil Nadu",2006,
Sudha Productions,India,"Mumbai, Maharashtra",2008,
Sun Pictures,India,"Chennai, Tamil Nadu",2008,
Suresh Productions,India,"Hyderabad, Telangana",1963,
Surinder Films,India,"Kolkata, West Bengal",1970[1],
T-Series,India,"New Delhi, Delhi",2001,"Founded by Gulshan Kumar, mainly a music studio"
Tips Industries,India,"Mumbai, Maharashtra",1975,
Thenandal Studio Limited,India,"Chennai, Tamil Nadu",1976,Founded by Rama Narayanan
Trimurti Films,India,"Mumbai, Maharashtra",1970,
T-Series,India,"New Delhi, Delhi",2001,
UTV Motion Pictures,India,"Mumbai, Maharashtra",2004,Subsidiary of UTV Software Communications and The Walt Disney Company
Viacom 18 Motion Pictures,India,"Mumbai, Maharashtra",2008,Subsidiary of Viacom 18 and Viacom
Vijaya Productions,India,"Chennai, Tamil Nadu",1948,"Moola Narayana Swamy, B. N. Reddy"
Vinod Chopra Films,India,"Mumbai, Maharashtra",1985,
Vishesh Films,India,"Mumbai, Maharashtra",1986,
Yash Raj Films,India,"Mumbai, Maharashtra",1970,
YNOT Studios,India,"Chennai, Tamil Nadu",2010,Founded by S. Sashikanth
Zee Entertainment Enterprises,India,"Mumbai, Maharashtra",1992,Founded by Subhash Chandra
Rapi Films,Indonesia,Jakarta,1968,
Ardmore Studios,Ireland,"Bray, County Wicklow",1958,
Cinecittà,Italy,Rome,1937,
Titanus,Italy,Rome,1904,
Eiken,Japan,Tokyo,1969,"Subsidiary of Asatsu-DK, previously Television Corporation of Japan"
Enoki Films,Japan,Tokyo,1975,
Kadokawa Pictures,Japan,Tokyo,2007,"Defunct 2011, subsidiary of Kadokawa Corporation"
Makino Film Productions,Japan,Unknown,1923,Defunct 1931
Nikkatsu,Japan,Tokyo,1912,
Shintoho,Japan,Tokyo,1947,Defunct 1961
Shochiku,Japan,Tokyo,1920,
Studio Ghibli,Japan,Tokyo,1985,
Taishō Katsuei,Japan,Tokyo,1920,Defunct 1922
Tennenshoku Katsudō Shashin,Japan,Tokyo,1914,Defunct 1919
Toei Company,Japan,Tokyo,1950,Parent of Toei Animation
Toho,Japan,Tokyo,1932,
Yokota Shōkai,Japan,Tokyo,1901,"Defunct 1912, merged into Nikkatsu"
Yoshizawa Shōten,Japan,Tokyo,1897,"Defunct 1912, merged into Nikkatsu"
Astro Shaw,Malaysia,Kuala Lumpur,2005,
KRU Studios,Malaysia,Kuala Lumpur,1992,
New Zealand Film Commission,New Zealand,Wellington,1978,
New Zealand On Air,New Zealand,Wellington,1989,
WingNut Films,New Zealand,Wellington,2003,
Rok Studios,Nigeria,"Lagos, Lagos",2013,
Silverbird Film Distribution,Nigeria,"Lagos, Lagos",2007,
Fuuse Films,Norway,Oslo,2010,Founded by activist and filmmaker Deeyah Khan
Maipo Film,Norway,Oslo,2000,Part of Nordisk Film
Norsk Film,Norway,Jar,1932,Defunct 2001
SF Norge,Norway,Oslo,1989,Part of Svensk Filmindustri
Storm Studios,Norway,Oslo,2001,
GMA Films,Philippines,Quezon City,1995,
LVN Pictures,Philippines,Quezon City,1936,Defunct 2005
OctoArts Films,Philippines,Quezon City,1989,
Regal Films,Philippines,Quezon City,1962,
Reyna Films,Philippines,Manila,1991,
Sampaguita Pictures,Philippines,Quezon City,1937,Defunct 1982
Star Cinema,Philippines,Quezon City,1993,
Viva Films,Philippines,Quezon City,1981,
Appetite Production,Poland,Kraków,2008,
Se-ma-for,Poland,Łódź,1947,
MediaPro Pictures,Romania,Bucharest,1998,
Castel Film Romania,Romania,Bucharest,1992,
Gorky Film Studio,Russia,Moscow,1915,
Lenfilm,Russia,Saint Petersburg,1918,
Petersburg Animation Studio,Russia,Saint Petersburg,2003,
Wizart Animation,Russia,Voronezh,2007,
InlayFilm,Russia,Moscow,2007,
Animaccord Animation Studio,Russia,Moscow,2008,
Melnitsa Animation Studio,Russia,Saint Petersburg,1999,
Mosfilm,Russia,Moscow,1920,
Soyuzmultfilm,Russia,Moscow,1936,
Sverdlovsk Film Studio,Russia,Ekaterinburg,1943,
Lesta Studio,Russia,Saint Petersburg,1991,
Art Pictures Studio,Russia,Moscow,1992,
Non-Stop Production,Russia,Moscow,2005,
Bazelevs Company,Russia,Moscow,1991,
Russian World Studios,Russia,Moscow,1998,
Central Partnership,Russia,Moscow,1996,
Enjoy Movies,Russia,Moscow,2010,
Glavkino,Russia,Krasnogorsk,2008,
Lennauchfilm,Russia,Saint Petersburg,1933,
Central Studio for Documentary Film,Russia,Moscow,1927,
Proline Film,Russia,Saint Petersburg,2004,
Svarog Films,Russia,Saint Petersburg,1998,
Soho Media,Russia,Moscow,1993,
Pink International Company,Serbia,Belgrade,1998,
Triglav Film,Slovenia,Ljubljana,1947,
Cape Town Film Studios,South Africa,Cape Town,2010,
Triggerfish Animation Studios,South Africa,Cape Town,1996,
Cinema Service,South Korea,Seoul,1995,
CJ E&M Film Division,South Korea,Seoul,1993,
Coridel Entertainment,South Korea,Seoul,2015,
DSP,South Korea,Seoul,1991,
I Star Cinema,South Korea,Seoul,2005,
LOEN Entertainment,South Korea,Seoul,1978,
Lotte Entertainment,South Korea,Seoul,2003,
Myung Films,South Korea,Seoul,1995,
Next Entertainment World,South Korea,Seoul,2008,
Showbox,South Korea,Seoul,2016,"Branch of Mediaplex, Inc., entertainment arm of Orion Group"
Sidus Pictures,South Korea,Seoul,1995,
Europafilm,Sweden,Stockholm,1929,
Film i Väst,Sweden,Trollhättan,1992,
Sonet Film,Sweden,Stockholm,1984,
AB Svensk Filmindustri,Sweden,Stockholm,1919,
Benetone Films,Thailand,Bangkok,2002,
Five Star Production,Thailand,Bangkok,1973,
GDH 559,Thailand,Bangkok,2016,
GMM Tai Hub,Thailand,Bangkok,2003,Defunct 2015
Kantana Group,Thailand,Bangkok,1951,
Phranakorn film,Thailand,Bangkok,2001,
Sahamongkol Film International,Thailand,Bangkok,1970,
Star Films,Turkey,Istanbul,1989,
Dovzhenko Film Studio,Ukraine,Kyiv,1927,
Anglo-Amalgamated,United Kingdom,London,1945,"Defunct 1971, back catalog owned by StudioCanal"
Associated British Picture Corporation,United Kingdom,Elstree,1927,Defunct 1970
Aura Films,United Kingdom,"Colchester, Essex",2011,
BBC Films,United Kingdom,London,1990,
British Lion Films,United Kingdom,London,1919,
DNA Films,United Kingdom,London,1997,
Dragon International Film Studios,United Kingdom,"Llanilid, Wales",2006,
Ealing Studios,United Kingdom,London,1931,
Eon Productions,United Kingdom,London,1961,
Film Tank,United Kingdom,"Burnham-on-Sea, Somerset",2009,
Film4 Productions,United Kingdom,London,1982,
Fingercuff Productions,United Kingdom,London,2000,
Gainsborough Pictures,United Kingdom,London,1924,Defunct in 1951.
Gate Studios,United Kingdom,"Borehamwood, Hertfordshire",1928,Defunct in 1954.
